"decimalLatitude","decimalLongitude","value"
51.40236,3.87611,1
52.13558,6.11983,1
51.45462,3.91366,1
51.46532,3.76816,1
52.10647,4.97956,1
50.98851,3.72096,1
50.71832,5.09825,1
51.06667,3.33467,1
51.90924,4.0737,1
51.25015,4.80585,1
51.02157,5.41658,1
52.50988,6.28552,1
51.85037,4.07292,1
52.52419,6.34063,1
52.13618,6.12204,1
51.20537,3.9755,1
51.0303,5.44528,1
51.33104,4.80662,1
52.15621,6.06959,1
51.54834,4.8276,1
52.14973,6.0532,1
52.15404,6.07397,1
51.07103,4.17638,1
51.90612,4.30479,1
51.2328,4.16139,1
52.49505,6.42806,1
50.69988,5.16874,1
51.14608,3.17569,1
52.04324,4.19915,1
51.0234,3.54944,1
51.17904,4.41905,1
51.31387,4.4192,1
50.95185,5.13037,1
51.45469,3.91207,1
52.13673,6.11057,1
52.49349,6.43258,1
52.52588,6.35407,1
52.13818,6.12252,1
51.19782,2.97404,1
52.13775,6.1226,1
51.97767,4.16331,1
52.31976,6.98916,1
52.13775,6.1226,1
50.99819,3.86328,1
51.45455,3.91481,1
51.85058,4.07246,1
51.91014,4.0755,1
51.18797,2.90281,1
51.58131,5.34457,1
51.50463,4.48044,1
52.74517,6.47027,1
53.07146,6.43771,1
51.37537,4.95067,1
51.43751,6.13701,1
52.28107,4.4796,1
51.55589,4.75772,1
51.47689,4.38555,1
52.22882,4.42608,1
50.85279,5.15715,1
51.70059,5.785,1
51.14189,3.83314,1
51.16998,4.50483,1
50.93253,5.31499,1
51.95933,4.95174,1
51.00239,5.54437,1
50.92718,4.16274,1
51.55589,4.75772,1
51.54346,5.33278,1
51.54894,5.3348,1
52.4048,4.61388,1
52.26261,4.54334,1
51.58131,5.34457,1
52.10007,4.42842,1
51.0216,3.32142,1
51.20575,4.11859,1
51.23292,4.2473,1
51.55973,5.2604,1
51.55975,5.27853,1
51.58477,4.69787,1
51.52239,5.2669,1
51.50776,4.47865,1
51.11611,4.30473,1
51.0628,5.77418,1
51.95413,4.99874,1
55.95823,-4.32501,1
51.2959,4.40484,1
50.84642,5.84864,1
52.10054,4.42774,1
52.22751,4.42471,1
51.5074,4.47865,1
51.71133,5.78618,1
51.57425,5.24412,1
52.26424,4.54394,1
51.536,5.34504,1
51.55911,5.28277,1
51.58477,6.02863,1
51.89756,4.07799,1
52.74517,6.47027,1
53.07277,6.42727,1
51.20899,3.17407,1
51.58341,6.02962,1
51.55452,6.05315,1
52.38085,4.59432,1
52.37797,4.59305,1
52.24773,4.46988,1
51.58211,4.70527,1
