"decimalLatitude","decimalLongitude","value"
50.71155,4.24863,1
53.38005,8.67268,1
51.06057,3.74849,1
53.47345,8.87395,1
50.83377,5.29879,1
50.86785,5.51257,1
50.89319,5.66956,1
43.06687,-87.89056,1
50.76554,4.31937,1
50.92031,5.65609,1
51.07807,3.66264,1
44.35007,-72.89854,1
50.92121,5.57077,1
50.97909,5.08809,1
50.92283,5.40013,1
50.81634,5.22749,1
50.97989,3.79228,1
50.92914,5.67056,1
44.45584,-73.22724,1
52.31372,5.65039,1
50.92898,5.68478,1
50.91371,5.41415,1
43.63153,-73.18409,1
52.31372,5.65039,1
50.91178,5.61319,1
50.90279,5.61295,1
44.37724,-73.16245,1
52.31372,5.65039,1
44.35093,-72.89847,1
50.96086,3.60747,1
50.8941,5.58429,1
51.04854,5.41718,1
51.02369,3.59219,1
51.0165,3.94859,1
45.55914,-75.05637,1
44.12912,-73.06818,1
50.91999,5.68453,1
51.03467,4.00545,1
50.89334,5.65535,1
50.8775,5.44176,1
51.45758,4.53446,1
43.61568,-73.10095,1
44.35185,-72.89889,1
49.45116,10.95646,1
52.09301,5.7615,1
44.3497,-72.89647,1
51.12077,9.11981,1
50.91333,5.4568,1
43.90497,-73.1436,1
43.63048,-73.18216,1
50.92975,5.61367,1
52.32622,5.72393,1
51.10249,3.3196,1
43.51675,-79.60925,1
44.29534,-72.68065,1
52.18869,6.26763,1
49.4184,8.55981,1
51.2455,3.23042,1
49.13707,8.91338,1
40.42952,-80.01981,1
51.12839,3.20472,1
51.07566,3.33447,1
44.26134,-72.53046,1
51.10271,5.38985,1
51.10237,3.30532,1
43.63731,-73.12562,1
50.92463,3.56539,1
50.08782,10.76523,1
40.96493,-73.96522,1
43.63651,-73.18504,1
44.4113,-73.24146,1
51.06363,5.70287,1
51.43154,10.85106,1
40.42926,-80.01969,1
51.11834,5.63302,1
51.20481,3.83242,1
51.22803,5.4499,1
50.84287,5.28478,1
50.96015,5.23014,1
51.11148,3.3194,1
52.49825,13.04214,1
44.39562,-73.10349,1
50.9701,5.08795,1
51.01398,5.24539,1
50.62894,8.72673,1
49.89008,8.56094,1
50.97884,3.60718,1
51.04362,3.99112,1
52.08839,6.11103,1
51.07575,5.38926,1
50.72058,4.30525,1
50.95972,5.28707,1
50.96985,3.60733,1
51.38036,6.09059,1
52.18869,6.26763,1
50.34856,9.15472,1
43.84231,-72.65817,1
51.19465,3.61795,1
48.24898,12.59711,1
44.2845,-72.08492,1
50.95073,5.28689,1
44.26444,-72.56323,1
52.1425,6.02349,1
43.94424,-73.07355,1
50.72958,4.3194,1
51.37608,6.08859,1
52.1444,6.02194,1
52.1425,6.02349,1
52.13932,6.01882,1
43.63361,-72.52195,1
52.73151,10.01884,1
51.37406,6.08443,1
51.38118,6.08654,1
51.37708,6.08708,1
48.79635,8.17366,1
51.37746,6.08854,1
52.14158,6.01905,1
52.1423,6.01961,1
52.30464,5.7113,1
43.63639,-72.40613,1
50.9951,5.359,1
52.14413,6.01941,1
50.78068,5.1843,1
51.37761,6.09111,1
51.37746,6.08854,1
52.14063,6.01583,1
52.14227,6.0237,1
51.38377,6.08809,1
43.3671,-72.96706,1
41.36743,-81.54382,1
52.13978,6.02689,1
50.95062,5.30112,1
50.99579,5.27354,1
51.37521,6.08572,1
52.14114,6.01502,1
52.1413,6.03271,1
50.98881,3.77793,1
52.32758,5.69648,1
50.72955,4.27691,1
52.1401,6.0266,1
51.37969,6.08752,1
43.63757,-72.40905,1
43.63101,-73.23426,1
43.63251,-72.52159,1
50.98599,5.37305,1
52.1425,6.02349,1
51.4576,4.52008,1
52.13978,6.02689,1
51.37598,6.09209,1
51.97639,6.66347,1
51.3771,6.08901,1
51.01932,5.64458,1
51.02568,4.00552,1
52.14283,6.01786,1
51.37708,6.08708,1
51.38377,6.08809,1
51.37527,6.08784,1
51.37746,6.08854,1
51.38049,6.09031,1
43.36321,-72.97434,1
43.63303,-72.52363,1
51.38377,6.08809,1
52.14063,6.01583,1
52.1401,6.0266,1
52.24536,5.6411,1
52.1425,6.02349,1
50.78068,5.1843,1
51.38411,6.09043,1
52.14114,6.01502,1
51.37608,6.08859,1
51.38362,6.08699,1
51.37527,6.08784,1
51.38049,6.09031,1
52.13932,6.01882,1
51.38307,6.09002,1
50.78118,3.62457,1
53.48061,10.24874,1
51.38123,6.09051,1
52.14227,6.0237,1
51.37965,6.08873,1
52.14081,6.02407,1
52.13978,6.02689,1
50.87309,4.64602,1
51.19224,3.30326,1
52.24308,5.72633,1
43.20603,-72.62444,1
52.24082,5.73719,1
51.17544,5.29135,1
43.20447,-72.55309,1
51.03618,5.74485,1
43.85675,-72.88185,1
51.09688,3.81939,1
52.12236,4.38294,1
52.10386,5.87872,1
50.97688,5.38709,1
50.9589,5.3867,1
49.98986,8.94321,1
52.24124,5.73888,1
52.10662,5.86386,1
43.2441,-72.64276,1
44.3418,-80.21017,1
52.10478,5.86158,1
52.12381,4.38437,1
49.98324,8.85258,1
52.2439,5.72458,1
43.23281,-72.66543,1
50.99093,7.44575,1
52.2425,5.72151,1
52.10838,5.87118,1
51.0251,3.84874,1
45.5007,-76.09182,1
51.58186,4.91667,1
51.02438,3.70621,1
50.92218,5.47123,1
52.31133,5.69393,1
52.34106,5.70467,1
52.28175,5.7868,1
43.84254,-73.011,1
52.24206,5.74926,1
52.24212,5.72481,1
50.99772,3.76357,1
51.06268,2.94957,1
51.1341,4.36185,1
51.57766,4.9249,1
52.2444,5.74461,1
52.10478,5.86158,1
52.30697,5.68214,1
52.24494,5.75064,1
52.24181,5.74202,1
45.52936,-75.80115,1
43.19259,-72.57036,1
43.23213,-72.66922,1
51.53883,4.761,1
52.24212,5.72481,1
51.58292,4.91366,1
51.57758,4.92403,1
43.20434,-72.56813,1
52.27583,5.78595,1
52.27583,5.78595,1
50.9934,5.54415,1
49.0264,8.41395,1
43.16318,-72.64239,1
51.01668,2.86545,1
52.30697,5.68214,1
51.53989,4.7578,1
43.59012,-72.90815,1
44.66438,-73.34788,1
51.05241,3.934,1
51.63991,4.82259,1
51.25667,5.63816,1
44.39809,-72.95718,1
44.40424,-72.95237,1
51.63679,4.82251,1
51.63991,4.82259,1
52.47114,6.28664,1
43.42345,-73.1349,1
50.75652,4.27686,1
51.58545,4.88395,1
51.63573,4.83342,1
51.63997,4.82371,1
40.44376,-79.90169,1
43.80939,-72.65796,1
51.63599,4.83707,1
51.63587,4.81731,1
51.58599,4.885,1
51.63907,4.81038,1
43.2571,-72.68121,1
43.24651,-73.02311,1
51.6402,4.82261,1
51.64068,4.81043,1
51.64036,4.80786,1
51.20081,5.47788,1
51.6359,4.83571,1
51.63457,4.83506,1
51.63556,4.81611,1
51.6402,4.83064,1
51.63587,4.81731,1
51.58533,4.89846,1
51.64011,4.81109,1
51.63978,4.81557,1
51.64066,4.83442,1
51.63592,4.83548,1
51.63637,4.82458,1
51.5873,4.87978,1
51.6376,4.82123,1
51.24955,5.65098,1
51.63997,4.82371,1
51.6376,4.83478,1
43.27782,-73.0173,1
51.63724,4.83376,1
51.24966,5.6513,1
51.63592,4.83548,1
51.63976,4.83142,1
40.86552,-73.87529,1
43.11743,-76.24946,1
51.58599,4.885,1
51.38574,4.47674,1
50.75448,3.66751,1
51.64066,4.83442,1
51.5873,4.87978,1
51.58567,4.89779,1
51.64047,4.81908,1
51.58545,4.88395,1
51.64062,4.80842,1
43.26525,-73.01906,1
51.36775,4.49106,1
51.63556,4.81611,1
51.63991,4.82259,1
51.5838,4.89482,1
51.63599,4.83707,1
51.64011,4.81109,1
51.63587,4.81731,1
51.63919,4.81232,1
44.73922,-72.04336,1
51.36645,4.9362,1
44.40077,-72.95384,1
52.48182,6.27544,1
51.58462,4.89809,1
43.17939,-73.01192,1
43.24904,-73.02584,1
43.25942,-73.02612,1
44.38472,-72.91249,1
43.74977,-72.82062,1
44.24274,-73.0608,1
51.63976,4.83142,1
51.63839,4.81067,1
52.33529,5.65205,1
51.63573,4.83342,1
51.64154,4.81878,1
51.58533,4.89846,1
51.64047,4.81908,1
51.39473,4.47676,1
51.24955,5.65098,1
51.6376,4.83478,1
52.48485,6.27487,1
52.30663,5.73357,1
51.64062,4.80842,1
51.5861,4.8977,1
43.80021,-72.66321,1
52.47181,6.2841,1
52.47402,6.28611,1
51.39474,4.4624,1
51.63976,4.83142,1
52.47114,6.28664,1
51.63907,4.81038,1
51.63457,4.83506,1
52.48549,6.27611,1
51.63857,4.81368,1
51.6402,4.82261,1
44.35831,-68.21948,1
43.42594,-72.40466,1
52.11036,5.87105,1
42.91488,-86.14503,1
44.32289,-72.31478,1
51.07839,3.71971,1
43.48218,-73.2053,1
52.18036,5.5409,1
44.33942,-68.17729,1
41.09972,-81.51785,1
52.11036,5.87105,1
43.17618,-71.56821,1
43.70043,-73.03166,1
44.31417,-72.67317,1
42.2549,-71.33337,1
44.68496,-72.67153,1
41.68512,-72.48854,1
51.28647,5.62433,1
44.32967,-68.18505,1
45.35861,-75.72286,1
44.69125,-73.46623,1
43.26692,-73.01108,1
51.27991,5.63184,1
44.68776,-73.46682,1
52.18011,5.54081,1
44.32195,-72.69321,1
43.86896,-72.61103,1
43.40297,-72.71752,1
44.69058,-73.467,1
44.69118,-73.46645,1
39.22505,-84.3721,1
43.40307,-72.7173,1
51.28692,5.62462,1
43.26597,-73.00876,1
52.32479,6.98741,1
43.71334,-72.99705,1
44.18313,-73.36571,1
43.64501,-72.95747,1
44.17871,-72.59023,1
43.69249,-73.21692,1
44.32149,-72.69499,1
43.48008,-73.20752,1
44.32029,-72.69217,1
44.31924,-72.69543,1
43.46885,-72.98567,1
44.6854,-72.67524,1
43.69381,-73.03129,1
44.20627,-72.58458,1
44.68438,-72.67093,1
44.32353,-72.68913,1
44.68582,-72.67499,1
43.66,-73.23289,1
43.58669,-72.91152,1
43.7136,-72.99102,1
42.88992,-72.55528,1
43.13942,-72.47662,1
43.37984,-72.42106,1
51.47555,4.53453,1
51.50937,7.3492,1
54.56009,9.9207,1
51.48454,4.53456,1
49.92132,11.57356,1
50.12036,8.72263,1
43.13234,-72.52547,1
43.46671,-73.19361,1
49.38706,7.45536,1
51.46656,4.53449,1
43.63419,-72.54181,1
49.96017,8.5223,1
44.38397,-72.77458,1
50.78939,12.91258,1
44.26646,-72.57697,1
50.86128,5.22832,1
51.49349,11.88386,1
50.99473,5.40173,1
50.86086,6.11589,1
51.17463,6.82581,1
50.73853,4.26273,1
44.44746,-73.19867,1
51.07787,5.10389,1
44.58909,-73.18844,1
50.84181,5.41254,1
50.69361,4.29113,1
51.14753,5.40513,1
50.90217,5.66981,1
51.07162,5.78872,1
50.97219,4.20526,1
50.70256,4.24865,1
52.09814,5.95144,1
52.53441,6.13052,1
50.91222,5.57054,1
50.77237,3.65306,1
48.61385,13.3865,1
49.42176,8.37701,1
52.00293,5.78033,1
50.92724,4.53256,1
51.06638,5.43185,1
54.35643,-7.34706,1
52.00293,5.78033,1
51.1576,3.4613,1
50.89395,5.5985,1
50.911,5.68427,1
50.91999,5.68453,1
50.91028,6.091,1
52.00293,5.78033,1
50.92574,3.75028,1
50.88496,5.59826,1
52.02739,5.76762,1
50.94486,4.03461,1
52.02739,5.76762,1
48.61385,13.3865,1
53.98068,-8.22175,1
51.99828,5.79928,1
51.99844,5.7829,1
50.88466,5.62668,1
50.93329,5.21542,1
50.84193,5.39835,1
51.13402,4.50472,1
50.88481,5.61247,1
50.93874,5.61391,1
48.64062,13.44057,1
52.53486,6.13024,1
51.03463,3.9912,1
52.53424,6.1292,1
50.91162,5.6274,1
44.25987,-72.58399,1
44.42001,-71.46713,1
50.92076,5.61343,1
50.92015,5.67031,1
52.00293,5.78033,1
50.95915,5.35823,1
51.06426,5.64581,1
48.58336,13.47971,1
44.47677,-73.18342,1
44.2633,-72.56386,1
50.96893,5.25878,1
50.97846,3.55023,1
52.00293,5.78033,1
50.92722,4.54678,1
51.99828,5.79928,1
50.99613,3.50718,1
50.10973,8.55539,1
51.04347,3.94835,1
