"decimalLatitude","decimalLongitude","value"
52.24181,5.74202,1
43.19259,-72.57036,1
43.23213,-72.66922,1
51.53883,4.761,1
52.24212,5.72481,1
51.58292,4.91366,1
51.57758,4.92403,1
43.20434,-72.56813,1
52.27583,5.78595,1
52.27583,5.78595,1
43.16318,-72.64239,1
52.30697,5.68214,1
51.53989,4.7578,1
44.66438,-73.34788,1
51.63991,4.82259,1
51.25667,5.63816,1
44.39809,-72.95718,1
44.40424,-72.95237,1
51.63679,4.82251,1
51.63991,4.82259,1
52.47114,6.28664,1
43.42345,-73.1349,1
51.58545,4.88395,1
51.63573,4.83342,1
51.63997,4.82371,1
43.80939,-72.65796,1
51.63599,4.83707,1
51.63587,4.81731,1
51.58599,4.885,1
51.63907,4.81038,1
43.2571,-72.68121,1
43.24651,-73.02311,1
51.6402,4.82261,1
51.64068,4.81043,1
51.64036,4.80786,1
51.6359,4.83571,1
51.63457,4.83506,1
51.63556,4.81611,1
51.6402,4.83064,1
51.63587,4.81731,1
51.58533,4.89846,1
51.64011,4.81109,1
51.63978,4.81557,1
51.64066,4.83442,1
51.63592,4.83548,1
51.63637,4.82458,1
51.5873,4.87978,1
51.6376,4.82123,1
51.24955,5.65098,1
51.63997,4.82371,1
51.6376,4.83478,1
43.27782,-73.0173,1
51.63724,4.83376,1
51.24966,5.6513,1
51.63592,4.83548,1
51.63976,4.83142,1
43.11743,-76.24946,1
51.58599,4.885,1
51.64066,4.83442,1
51.5873,4.87978,1
51.58567,4.89779,1
51.64047,4.81908,1
51.58545,4.88395,1
51.64062,4.80842,1
43.26525,-73.01906,1
51.63556,4.81611,1
51.63991,4.82259,1
51.5838,4.89482,1
51.63599,4.83707,1
51.64011,4.81109,1
51.63587,4.81731,1
51.63919,4.81232,1
44.73922,-72.04336,1
44.40077,-72.95384,1
52.48182,6.27544,1
51.58462,4.89809,1
43.17939,-73.01192,1
43.24904,-73.02584,1
43.25942,-73.02612,1
44.38472,-72.91249,1
43.74977,-72.82062,1
51.63976,4.83142,1
51.63839,4.81067,1
52.33529,5.65205,1
51.63573,4.83342,1
51.64154,4.81878,1
51.58533,4.89846,1
51.64047,4.81908,1
51.24955,5.65098,1
51.6376,4.83478,1
52.48485,6.27487,1
52.30663,5.73357,1
51.64062,4.80842,1
51.5861,4.8977,1
43.80021,-72.66321,1
52.47181,6.2841,1
52.47402,6.28611,1
51.63976,4.83142,1
52.47114,6.28664,1
51.63907,4.81038,1
51.63457,4.83506,1
52.48549,6.27611,1
51.63857,4.81368,1
51.6402,4.82261,1
44.35831,-68.21948,1
43.42594,-72.40466,1
52.11036,5.87105,1
44.32289,-72.31478,1
52.18036,5.5409,1
44.33942,-68.17729,1
41.09972,-81.51785,1
52.11036,5.87105,1
43.17618,-71.56821,1
44.31417,-72.67317,1
42.2549,-71.33337,1
41.68512,-72.48854,1
51.28647,5.62433,1
44.32967,-68.18505,1
43.26692,-73.01108,1
51.27991,5.63184,1
44.68776,-73.46682,1
52.18011,5.54081,1
44.32195,-72.69321,1
43.86896,-72.61103,1
43.40297,-72.71752,1
44.69058,-73.467,1
44.69118,-73.46645,1
39.22505,-84.3721,1
43.40307,-72.7173,1
51.28692,5.62462,1
52.32479,6.98741,1
44.17871,-72.59023,1
44.32149,-72.69499,1
44.32029,-72.69217,1
44.31924,-72.69543,1
44.6854,-72.67524,1
44.20627,-72.58458,1
44.68438,-72.67093,1
44.32353,-72.68913,1
44.68582,-72.67499,1
43.37984,-72.42106,1
43.46671,-73.19361,1
43.63419,-72.54181,1
44.38397,-72.77458,1
